"","countrycode","FractionChangeGDP_perC","FractionChangeGDP_perC_se_adj"
"61","GRC",NA,NA
"62","GRD",-0.00505484862356779,6.56838325855833e-05
"63","GTM",NA,NA
"64","GUY",NA,NA
"65","HKG",NA,NA
"66","HND",-0.000393109755474351,5.24059556031643e-06
"67","HRV",NA,NA
"68","HTI",-0.000124172771256219,2.32637484674266e-06
"69","HUN",NA,NA
"70","IDN",-0.000346979917452599,5.35997146182113e-06
"71","IND",-3.46412753857689e-06,5.43160144107049e-08
"72","IRL",NA,NA
"73","IRN",-7.22044595631235e-06,8.41106693870887e-08
"74","IRQ",NA,NA
"75","ISL",NA,NA
"76","ISR",-1.49561514019539e-06,2.34407007940697e-08
"77","ITA",NA,NA
"78","JAM",-0.00087311545919993,1.13915737957009e-05
"79","JOR",-1.0254512636683e-06,1.44737207431457e-08
"80","JPN",-0.000164213967609876,2.50795265909496e-06
"81","KAZ",NA,NA
"82","KEN",-5.69992514458414e-05,1.32173336406774e-06
"83","KGZ",NA,NA
"84","KHM",-1.09315936454857e-05,1.90265477369356e-07
"85","KOR",NA,NA
"86","KWT",-0.0001041027482524,1.09491282691306e-06
"87","LAO",NA,NA
"88","LBN",NA,NA
"89","LBR",NA,NA
"90","LBY",NA,NA
"91","LCA",-0.00126838741289545,1.54759985565762e-05
"92","LKA",-6.23748781920062e-05,9.70659301154513e-07
"93","LSO",NA,NA
"94","LTU",NA,NA
"95","LUX",NA,NA
"96","LVA",NA,NA
"97","MAR",NA,NA
"98","MDA",NA,NA
"99","MDG",-0.000236491103103757,5.63788338933191e-06
"100","MDV",-0.1029949045364,0.0015095822978653
"101","MEX",-7.26040450931503e-05,9.29709324556605e-07
"102","MKD",NA,NA
"103","MLI",NA,NA
"104","MLT",NA,NA
"105","MNG",NA,NA
"106","MOZ",-0.000217748219524488,5.62316696232232e-06
"107","MRT",NA,NA
"108","MUS",-0.0258969919425115,0.000415413696668333
"109","MWI",NA,NA
"110","MYS",-0.00037342016245581,4.33766253722899e-06
"111","NAM",NA,NA
"112","NER",NA,NA
"113","NGA",NA,NA
"114","NIC",-0.000720189645043998,1.26282431827735e-05
"115","NLD",-0.000225532959991114,3.26764627657018e-06
"116","NOR",NA,NA
"117","NPL",NA,NA
"118","NZL",-0.000833275863962961,1.27377640107546e-05
"119","OMN",-0.000723509318472504,8.78279722942937e-06
"120","PAK",NA,NA
"121","PAN",-0.00152047823503126,1.8225634818875e-05
"122","PER",NA,NA
"123","PHL",-0.000716873609162086,9.90532418869201e-06
"124","PNG",-0.00270081122100081,3.38363476358987e-05
"125","POL",NA,NA
"126","PRI",NA,NA
"127","PRT",NA,NA
"128","PRY",NA,NA
"129","ROU",NA,NA
"130","RUS",NA,NA
"131","RWA",NA,NA
"132","SAU",-0.00087941349888442,1.02894731602074e-05
"133","SDN",-0.000100464791552006,1.87167305642553e-06
"134","SEN",NA,NA
"135","SGP",-1.07881933577182e-05,9.87740574245354e-08
"136","SLB",-0.0115891262518962,0.000192963295917352
"137","SLE",NA,NA
"138","SLV",NA,NA
"139","SOM",-0.000146831598979827,3.49493124538772e-06
"140","SRB",NA,NA
"141","STP",NA,NA
"142","SUR",NA,NA
"143","SVK",NA,NA
"144","SVN",NA,NA
"145","SWE",NA,NA
"146","SWZ",NA,NA
"147","SYR",NA,NA
"148","TCD",NA,NA
"149","TGO",NA,NA
"150","THA",-2.07292029620962e-05,3.07187706724373e-07
"151","TJK",NA,NA
"152","TKM",NA,NA
"153","TLS",-7.52006720532066e-05,1.59416218725928e-06
"154","TON",-0.0556402726754943,0.00120485862470907
"155","TTO",-0.00023166443620212,3.89849607482637e-06
"156","TUN",NA,NA
"157","TUR",NA,NA
"158","TZA",-0.000141152856962024,3.12041195121196e-06
"159","UGA",NA,NA
"160","UKR",NA,NA
"161","URY",NA,NA
"162","USA",-0.000250579987106029,3.8079736725886e-06
"163","UZB",NA,NA
"164","VCT",-0.00179779452473237,2.31433152562592e-05
"165","VEN",-1.25122506724273e-05,1.69743541310127e-07
"166","VNM",-4.21718107143186e-05,6.05248303019398e-07
"167","VUT",-0.00445570131524738,5.73563849072623e-05
"168","WSM",-0.00562434592864366,0.000111246427635842
"169","YEM",-9.36208302162634e-06,1.6977865374162e-07
"170","ZAF",-1.71719364295756e-07,2.74752374957145e-09
"171","ZMB",NA,NA
"172","ZWE",NA,NA
