"","countrycode","sum_area_km2","DamCoef_changeperC","DamCoef_changeperC_se","CoralArea_2020_km2","gdp","gamma_um","gamma_um_se","gamma_unm","gamma_unm_se","gamma_nu","gamma_nu_se","GDP_asPercentage","adjustment_factor_um","adjustment_factor_unm","adjustment_factor_nu","muV_value_perkm2year","nuV_value_perkm2year","nV_value_perkm2year","muV_value_perkm2year_se","nuV_value_perkm2year_se","nV_value_perkm2year_se","units"
"23","FRA",8330.3169247812,-0.079468059189668,0.00363913122036969,2949.23237708726,35709.204585868,0.129,0.062,0.222,0.058,0.243,0.068,2.79102113159685,1.23104172597599,0.619606691214501,0.678218134978035,2374556.38523509,2242108.77282879,2008203.89766996,2681578.19169351,3173501.55106243,3834374.04791182,"Int2020$_perkm2_peryear"
"24","FSM",3185.27671435124,-0.0824488549607017,0.00420387193714672,1346.99124506905,2949.82835516828,0.129,0.062,0.222,0.058,0.243,0.068,0.230557733484674,0.900741947619523,0.0511838168335976,0.0560255292367758,1737441.1427633,185213.759594056,165891.592070093,1962086.18449961,262153.27305832,316745.932093036,"Int2020$_perkm2_peryear"
"25","GBR",1104.93052454662,-0.108117647928912,0.00747049070465354,188.253483225929,42215.8837450989,0.129,0.062,0.222,0.058,0.243,0.068,3.29958129810141,1.29664598745508,0.732507048178513,0.801798255438642,2501100.44520211,2650650.00453877,2374124.63435382,2824483.9544734,3751754.59936071,4533046.61694791,"Int2020$_perkm2_peryear"
"26","GRD",62.9218074483068,-0.078378012579985,0.00353211415407789,13.3639776524113,8413.28335500372,0.129,0.062,0.222,0.058,0.243,0.068,0.657579800565492,0.955827794272949,0.145982715725539,0.159791891537415,1843696.23237309,528253.055124436,473143.790842285,2082079.68426476,747694.273403067,903399.437995927,"Int2020$_perkm2_peryear"
"27","HND",775.380706709466,-0.111289978105492,0.00856815986783167,190.853657339462,2189.43168668222,0.129,0.062,0.222,0.058,0.243,0.068,0.171125349180591,0.893075170044296,0.0379898275180911,0.0415834598508835,1722652.69549844,137469.989856965,123128.624618466,1945385.64290749,194576.298582159,235096.248612955,"Int2020$_perkm2_peryear"
"28","HTI",328.916974289627,-0.0765855880445416,0.00745075738336407,63.2819985889798,1331.69778506932,0.129,0.062,0.222,0.058,0.243,0.068,0.104085114808189,0.884426979810256,0.023106895487418,0.02529268289839,1705971.201356,83614.612010771,74891.6340621329,1926547.29012068,118348.897307458,142994.712034338,"Int2020$_perkm2_peryear"
"29","IDN",20087.5294726717,-0.0883572904570809,0.0057221163572969,7094.14679875982,3739.44906576846,0.129,0.062,0.222,0.058,0.243,0.068,0.292274260491938,0.90870337960346,0.0648848858292102,0.0710226452995408,1752797.94891711,234792.44786158,210298.05273194,1979428.57179022,332327.408240049,401533.627465484,"Int2020$_perkm2_peryear"
"30","IND",2031.42161352132,-0.0998489203735276,0.00483802991349624,517.500004607708,1806.50110583878,0.129,0.062,0.222,0.058,0.243,0.068,0.141195605422264,0.889214233099472,0.0313454244037426,0.0343105321176101,1715205.33422557,113426.552747383,101593.485600244,1936975.36396058,160544.994711089,193978.024380121,"Int2020$_perkm2_peryear"
"31","IRN",117.026238839245,-0.0880581369762741,0.00409002424522592,44.3401892898503,5127.95975696418,0.129,0.062,0.222,0.058,0.243,0.068,0.400799855657647,0.922703181379836,0.0889775679559976,0.0973943649248082,1779802.16656357,321974.227405573,288384.714542357,2009924.3399997,455725.307557029,550628.781538896,"Int2020$_perkm2_peryear"
"32","ISR",1.14337433936393,-0.0893088427782796,0.00277362079409148,0.45163286404875,38049.9903345588,0.129,0.062,0.222,0.058,0.243,0.068,2.97397627061225,1.25464293890898,0.66022273207592,0.722676233758777,2420080.76486153,2389081.97828992,2139844.32815974,2732988.71382543,3381528.78914645,4085722.35517862,"Int2020$_perkm2_peryear"
"33","JAM",438.4451863209,-0.0916411322590756,0.00461091911132117,89.8716465103868,4752.33342267359,0.129,0.062,0.222,0.058,0.243,0.068,0.371441009703285,0.918915890251724,0.0824599041541293,0.0902601653578982,1772496.86070655,298389.409172132,267260.349624737,2001674.48373533,422343.137096619,510294.870867413,"Int2020$_perkm2_peryear"
"34","JOR",2.88097835499027,-0.0893088427782796,0.00277362079409148,1.13798645022116,3806.87949354914,0.129,0.062,0.222,0.058,0.243,0.068,0.297544603279774,0.909383253823091,0.0660549019281098,0.072303338596985,1754109.35829936,239026.268117058,214090.185585673,1980909.54180284,338319.996695393,408774.155091915,"Int2020$_perkm2_peryear"
"35","JPN",1036.91561583175,-0.0813891105797262,0.00358480115518779,434.566165734922,34650.7967802766,0.129,0.062,0.222,0.058,0.243,0.068,2.70829628276553,1.22037022047675,0.601241774773948,0.658115996712024,2353972.11827761,2175653.48619701,1948681.4662643,2658332.45126451,3079440.12203721,3720724.5990111,"Int2020$_perkm2_peryear"
"36","KEN",517.561955055098,-0.129894558529338,0.0128703052560376,127.621264549093,1609.33414078281,0.129,0.062,0.222,0.058,0.243,0.068,0.125785092298098,0.887226276906455,0.0279242904901779,0.0305657774284379,1711370.76552486,101046.837567758,90505.2669656047,1932644.99898533,143022.631032593,172806.679269417,"Int2020$_perkm2_peryear"
"37","KHM",47.6562508151267,-0.100435407878316,0.00762299542717715,13.0730574859403,1908.63427518336,0.129,0.062,0.222,0.058,0.243,0.068,0.149178304482172,0.8902440012782,0.0331175835950422,0.0362503279891679,1717191.65406552,119839.28799702,107337.221175926,1939218.5079843,169621.639657087,204944.854319559,"Int2020$_perkm2_peryear"
"38","KIR",1968.81177170022,-0.0873920054301706,0.00550330045114658,931.737230630844,1793.38536230105,0.129,0.062,0.222,0.058,0.243,0.068,0.140170482690046,0.889081992267016,0.0311178471571901,0.0340614272936811,1714950.25488385,112603.041723008,100855.88621659,1936687.30375524,159379.389569696,192569.685347555,"Int2020$_perkm2_peryear"
"39","KNA",41.9591516284355,-0.0885820453362556,0.00496127055213227,5.57001597924299,18887.4362551531,0.129,0.062,0.222,0.058,0.243,0.068,1.47623657040748,1.06143451758256,0.32772451863046,0.358725486609018,2047401.04096501,1185903.94311618,1062186.1658493,2312122.8096501,1678539.43952149,2028090.41109274,"Int2020$_perkm2_peryear"
"40","KWT",72.8368712095584,-0.0839417137552731,0.00488750375715002,21.608271792169,25541.50749746,0.129,0.062,0.222,0.058,0.243,0.068,1.99631685961614,1.12852487489048,0.443182342834783,0.485104996886722,2176811.63117625,1603699.62578195,1436395.89578158,2458265.73497394,2269891.32353119,2742589.61039877,"Int2020$_perkm2_peryear"
"41","LCA",29.5852491944954,-0.103686691912939,0.00440699614346325,4.26596144719649,8379.30975677286,0.129,0.062,0.222,0.058,0.243,0.068,0.654924433926039,0.955485251976459,0.145393224331581,0.159146637444028,1843035.50253739,526119.921566258,471233.193471766,2081333.52438032,744675.01638149,899751.429453554,"Int2020$_perkm2_peryear"
"42","LKA",122.273726903453,-0.0899352487549136,0.00432985059908516,52.8474699496422,4229.74962899734,0.129,0.062,0.222,0.058,0.243,0.068,0.330596011107106,0.913646885432817,0.0733923144657774,0.0803348306990266,1762333.47731136,265577.429125862,237871.433699818,1990197.0105383,375900.756230819,454180.998840017,"Int2020$_perkm2_peryear"
"43","MDG",3413.91557519718,-0.0850039030616484,0.00719052773023066,1055.6152449394,422.924255422319,0.129,0.062,0.222,0.058,0.243,0.068,0.0330556378289003,0.875264177279928,0.00733835159801586,0.00803251999242276,1688297.07155525,26554.5590925802,23784.2916975638,1906587.95736887,37585.5692147176,45412.6550291613,"Int2020$_perkm2_peryear"
"44","MDV",2708.02226611879,-0.101415401960624,0.00523748911102867,818.010766334686,7340.09129737358,0.129,0.062,0.222,0.058,0.243,0.068,0.573699418858726,0.945007225032776,0.127361270986637,0.13940895878267,1822824.43636572,460869.495192245,412789.926955487,2058509.2382889,652318.957739358,788162.489373705,"Int2020$_perkm2_peryear"
"45","MEX",1236.8795754125,-0.0951630923676096,0.00629889954122773,218.468759711432,9234.64362485294,0.129,0.062,0.222,0.058,0.243,0.068,0.721777082369705,0.964109243625692,0.160234512286075,0.175391831015838,1859670.3200296,579824.60615839,519335.211637898,2100119.16538984,820689.125026817,991595.255831144,"Int2020$_perkm2_peryear"
"46","MHL",2000.65656471821,-0.0844980626079388,0.00518815190391092,950.102344424192,5172.57528216176,0.129,0.062,0.222,0.058,0.243,0.068,0.404286992239598,0.923153021998908,0.0897517122771907,0.0982417391142222,1780669.86413369,324775.546046242,290893.789517212,2010904.22782022,459690.319941315,555419.496256167,"Int2020$_perkm2_peryear"
"47","MMR",606.599470527173,-0.088785923626163,0.0063809481894401,279.510991871137,1301.31386350598,0.129,0.062,0.222,0.058,0.243,0.068,0.101710316261777,0.884120630797769,0.0225796902101145,0.0247156068516118,1705380.28474582,81706.8669943203,73182.9118876226,1925879.97006678,115648.657318164,139732.154896273,"Int2020$_perkm2_peryear"
"48","MOZ",2080.39175295,-0.105450766118262,0.00461575977305354,540.934357210024,591.804059985932,0.129,0.062,0.222,0.058,0.243,0.068,0.0462552346472379,0.876966925269494,0.0102686620916868,0.0112400220192788,1691581.50215233,37158.1806449779,33281.7051990845,1910297.05331454,52594.0335012015,63546.5884881946,"Int2020$_perkm2_peryear"
"49","MUS",2561.98542238964,-0.105197628296933,0.00781022053360702,877.80848716131,9362.87435896817,0.129,0.062,0.222,0.058,0.243,0.068,0.731799559565331,0.965402143183928,0.162459502223503,0.177827292974375,1862164.19398748,587875.95474597,526546.614497125,2102935.48849755,832085.07848834,1005364.38355993,"Int2020$_perkm2_peryear"
"50","MYS",1767.38750170816,-0.0825669733784669,0.00355957737680127,631.00735502764,10171.4657842762,0.129,0.062,0.222,0.058,0.243,0.068,0.794998832162847,0.973554849349007,0.176489740740152,0.193184716215572,1877889.9489093,638645.775842314,572019.944714308,2120694.52833694,903945.15412291,1092189.11159636,"Int2020$_perkm2_peryear"
"51","NIC",523.352188637691,-0.112320761352341,0.00960466415138817,111.966698024963,1959.78830967601,0.129,0.062,0.222,0.058,0.243,0.068,0.153176489064865,0.890759767089368,0.0340051805723999,0.0372218868427621,1718186.51473868,123051.146419286,110214.006941418,1940342.00065077,174167.733855718,210437.65945424,"Int2020$_perkm2_peryear"
"52","NLD",313.761897311791,-0.0898044931697323,0.00465360975223321,70.9058772763521,47086.5803832096,0.129,0.062,0.222,0.058,0.243,0.068,3.68027354258631,1.34575528699363,0.817020726454161,0.894306470848474,2595827.37308202,2956471.20074703,2648041.46018233,2931458.74165823,4184616.75675292,5056051.06358893,"Int2020$_perkm2_peryear"
"53","NRU",5.941985785914,-0.0864887514635928,0.00466234620121794,2.73331346152044,7769.40694625475,0.129,0.062,0.222,0.058,0.243,0.068,0.607254606157038,0.949335844194258,0.134810522566862,0.14756286929616,1831173.9098663,487825.356960449,436933.655985931,2067938.26940835,690472.534482956,834261.437852772,"Int2020$_perkm2_peryear"
"54","NZL",317.718114307508,-0.0849178825321492,0.0048633331487733,101.283997687899,39596.5266174221,0.129,0.062,0.222,0.058,0.243,0.068,3.09485310044679,1.27023604995764,0.687057388299187,0.75204930340857,2450158.31676328,2486185.86529944,2226817.98739278,2766955.18762272,3518970.53139078,4251785.94175069,"Int2020$_perkm2_peryear"
"55","OMN",276.841885893164,-0.096187641964936,0.00499489773453317,112.832655303307,17743.8858800477,0.129,0.062,0.222,0.058,0.243,0.068,1.38685700289878,1.04990455337394,0.307882254643528,0.337006251704403,2025160.893003,1114102.72665307,997875.511296736,2287007.08861446,1576911.33183322,1905298.54463601,"Int2020$_perkm2_peryear"
"56","PAN",633.21131167707,-0.0951179384662157,0.00583947607197992,220.998488703099,12647.082664124,0.129,0.062,0.222,0.058,0.243,0.068,0.988492333503045,0.998515511021893,0.219445298037676,0.24020363704124,1926036.56921013,794084.755479134,711242.969279111,2175066.33765899,1123954.92748937,1358015.28237635,"Int2020$_perkm2_peryear"
"57","PHL",14414.4111170878,-0.086613048440861,0.00428866184413691,5397.66000350667,3198.6669001424,0.129,0.062,0.222,0.058,0.243,0.068,0.250006882392724,0.903250887828661,0.0555015278911848,0.060751672421432,1742280.63753271,200837.828827041,179885.70203986,1967551.40895717,284267.72555307,343465.655201808,"Int2020$_perkm2_peryear"
"58","PLW",508.564100080336,-0.0915341829804062,0.00503034287389747,205.533026698824,14232.2400546821,0.129,0.062,0.222,0.058,0.243,0.068,1.11238777797636,1.01449802335895,0.246950086710751,0.270310230048255,1956865.23725708,893613.583771525,800388.591172883,2209881.0442828,1264828.95411513,1528225.91660081,"Int2020$_perkm2_peryear"
"59","PNG",7612.15092468924,-0.0866824296280146,0.00474849629438327,2496.76111757411,2438.61137934805,0.129,0.062,0.222,0.058,0.243,0.068,0.190601162093835,0.895587549910105,0.0423134579848314,0.046316082388802,1727498.8250216,153115.479063911,137141.919953243,1950858.35996918,216721.06910671,261852.603393331,"Int2020$_perkm2_peryear"
"60","QAT",134.607090577522,-0.0896994003374615,0.00603239101081066,35.6521927288251,57769.604101576,0.129,0.062,0.222,0.058,0.243,0.068,4.51525559534004,1.45346797179887,1.00238674216549,1.09720710966763,2803594.37080283,3627236.66520004,3248830.25172585,3166089.28296947,5134024.4160232,6203170.11521691,"Int2020$_perkm2_peryear"
"61","SAU",3776.01441381756,-0.0982959596039397,0.00510818070238026,1376.63501881483,21944.785821998,0.129,0.062,0.222,0.058,0.243,0.068,1.71519813078678,1.09226055887149,0.380773985034665,0.416793145781187,2106861.39200723,1377868.74224644,1234124.50465809,2379271.17538978,1950248.19655055,2356381.72898852,"Int2020$_perkm2_peryear"
"62","SDN",1660.73942268788,-0.0818381563545199,0.00360375119899993,640.570944412844,1056.86474609375,0.129,0.062,0.222,0.058,0.243,0.068,0.0826042437460161,0.881655947443236,0.0183381421116156,0.0200728312302819,1700626.15702326,66358.4010450921,59435.6532728648,1920511.1503156,93924.2962672727,113483.758643522,"Int2020$_perkm2_peryear"
"63","SGP",3.86776974939984,-0.0934536685244492,0.00695294399681712,1.70458138241407,59144.3539186758,0.129,0.062,0.222,0.058,0.243,0.068,4.62270564455517,1.46732902814762,1.02624065309125,1.12331747162691,2830330.96239394,3713554.42727599,3326143.03348727,3196282.82201395,5256199.37700275,6350787.65758987,"Int2020$_perkm2_peryear"
"64","SLB",2815.57908592341,-0.0766913383415083,0.00443997685394577,1043.51440825361,1930.64258596415,0.129,0.062,0.222,0.058,0.243,0.068,0.150898467705417,0.890465902333999,0.0334994598306026,0.0366683276524164,1717619.67901205,121221.145343019,108574.918178805,1939701.87505415,171577.53336038,207308.057215701,"Int2020$_perkm2_peryear"
"65","SOM",326.514323542495,-0.12770056839654,0.012085357819885,78.4815011470823,463.032522124252,0.129,0.062,0.222,0.058,0.243,0.068,0.0361904883867623,0.875668573001892,0.00803428842186123,0.00879428867798323,1689077.11046335,29072.876083347,26039.8887755084,1907468.85257002,41150.0184390888,49719.390469846,"Int2020$_perkm2_peryear"
"66","SYC",1519.01086540965,-0.0971370410662537,0.00675666596797904,495.704473005496,17048.361729788,0.129,0.062,0.222,0.058,0.243,0.068,1.33249503590949,1.04289185963232,0.295813897971906,0.323796293726005,2011634.10804479,1070432.17120114,958760.825722701,2271731.33783709,1515099.62263251,1830614.72620934,"Int2020$_perkm2_peryear"
"67","THA",184.9403290983,-0.0956895541323718,0.00651055743983206,71.472286373953,6035.18627737077,0.129,0.062,0.222,0.058,0.243,0.068,0.471708418840876,0.931850386030473,0.104719268982675,0.114625145778333,1797446.20961418,378937.146740706,339405.056649644,2029849.69589018,536351.151875462,648044.724172383,"Int2020$_perkm2_peryear"
"68","TLS",35.1895322735699,-0.08935935571547,0.00464133483079635,12.4148883650689,1947.83997138866,0.129,0.062,0.222,0.058,0.243,0.068,0.152242610390326,0.890639296740352,0.0337978595066524,0.0369949543248493,1717954.13948247,122300.934410773,109542.059755879,1940079.58008951,173105.876821173,209154.673770968,"Int2020$_perkm2_peryear"
"69","TON",994.986146429011,-0.0715279770441903,0.00408291442949422,351.796872810963,4656.93166185355,0.129,0.062,0.222,0.058,0.243,0.068,0.36398443559226,0.917953992191402,0.0808045447014817,0.0884482178489192,1770641.45553799,292399.325456782,261895.17305065,1999579.18119053,413864.717052049,500050.844430649,"Int2020$_perkm2_peryear"
"70","TTO",32.1516631038711,-0.0763655716154911,0.00433798654610955,8.88924652299069,15789.6138011089,0.129,0.062,0.222,0.058,0.243,0.068,1.2341116608374,1.03020040424803,0.273972788705904,0.299889133583489,1987153.55975402,991397.933211184,887971.724540712,2244085.54057347,1403233.8291939,1695453.20562762,"Int2020$_perkm2_peryear"
"71","TUV",1187.57977377673,-0.0892774239412479,0.00493521016977662,364.718087668921,4233.0183205634,0.129,0.062,0.222,0.058,0.243,0.068,0.330851491097191,0.913679842351538,0.0734490310235763,0.0803969123366173,1762397.04791188,265782.663661913,238055.257428724,1990268.80059435,376191.247096553,454531.9835863,"Int2020$_perkm2_peryear"
"72","TWN",383.380885068564,-0.0905516417156052,0.00632782207688872,138.444897559515,28570,0.129,0.062,0.222,0.058,0.243,0.068,2.23302296017199,1.15905996186219,0.495731097158181,0.542624579321793,2235710.76043597,1793852.54817659,1606711.37937183,2524780.3149244,2539035.53342477,3067782.32165369,"Int2020$_perkm2_peryear"
"73","TZA",2102.93056964912,-0.110015982629098,0.00689915081689357,681.775290122221,1041.25964355469,0.129,0.062,0.222,0.058,0.243,0.068,0.0813845534322059,0.881498607392755,0.0180673708619497,0.019776446484026,1700322.66379988,65378.5882010512,58558.0580392011,1920168.41648364,92537.460080734,111808.11784209,"Int2020$_perkm2_peryear"
"74","USA",4727.58855832868,-0.108093224480758,0.00689017724319573,797.084937050226,59493.1459820135,0.129,0.062,0.222,0.058,0.243,0.068,4.64996713163108,1.47084575998041,1.0322927032221,1.12994201298635,2837114.38642621,3735454.37587949,3345758.30045259,3203943.31896533,5287196.76736295,6388240.16461964,"Int2020$_perkm2_peryear"
"75","VCT",21.5530154502216,-0.084564283323901,0.00423535631388767,5.57313629654559,8025.28499765773,0.129,0.062,0.222,0.058,0.243,0.068,0.627253960857315,0.951915760950594,0.139250379310324,0.152422712488328,1836150.3112976,503891.422572338,451323.651677938,2073558.10207868,713212.592751618,861737.047324009,"Int2020$_perkm2_peryear"
"76","VEN",348.105431009451,-0.0905120813884551,0.00501676085610872,85.5136235561855,1570,0.129,0.062,0.222,0.058,0.243,0.068,0.122710747198811,0.886829686388647,0.027241785878136,0.029818711569311,1710605.78207506,98577.1263786228,88293.2049567298,1931781.10586039,139526.978910637,168583.067728257,"Int2020$_perkm2_peryear"
"77","VNM",712.454587237119,-0.0979794607685194,0.00940059671189901,233.477281092098,3303.16949807493,0.129,0.062,0.222,0.058,0.243,0.068,0.258174775307704,0.904304546014694,0.0573148001183102,0.062736470399772,1744313.03880774,207399.335708117,185762.688853725,1969846.59258381,293554.943245961,354686.909052151,"Int2020$_perkm2_peryear"
"78","VUT",709.372602639776,-0.0889854214521819,0.0047321942645313,220.181355128839,2747.30576044379,0.129,0.062,0.222,0.058,0.243,0.068,0.214728625890226,0.898699992739839,0.0476697549476301,0.0521790560913248,1733502.41599588,172497.775253494,154502.185086413,1957638.19418519,244154.950890772,294999.511517914,"Int2020$_perkm2_peryear"
"79","WSM",200.740815231569,-0.0709603072936653,0.00438958185547988,73.9395336102947,4283.07280337978,0.129,0.062,0.222,0.058,0.243,0.068,0.334763735037986,0.9141845218199,0.0743175491784328,0.0813475876142305,1763370.52413841,268925.483457077,240870.206925737,1991368.14388029,380639.623382097,459906.721335814,"Int2020$_perkm2_peryear"
"80","YEM",387.688812289459,-0.112793997456494,0.00713316677669988,120.599623887148,951.130341070454,0.129,0.062,0.222,0.058,0.243,0.068,0.074340073144086,0.880589869435587,0.0165034962379871,0.0180646377740129,1698569.7991543,59719.5514867801,53489.3924488522,1918188.91259154,84527.6070317223,102130.236119159,"Int2020$_perkm2_peryear"
